ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2022-04-25,13:46,39.7,39.7,39.7,39.7,128,1
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,13:46,149.62,149.62,149.44,149.44,3466,31
IE00B53L3W79,SXRT,ISHSVII-C.EO STXX50 EOACC,ETF,EUR,2506397,2022-04-25,13:46,128.7,128.7,128.7,128.7,90,1
DE0002635307,EXSA,ISH.STOX.EUROPE 600 U.ETF,ETF,EUR,2504871,2022-04-25,13:46,44.385,44.385,44.385,44.385,1949,1
IE00B60SWX25,SC0D,INVESCOMI EURO STOXX 50 A,ETF,EUR,2506398,2022-04-25,13:46,86.6,86.6,86.6,86.6,12,1
DE000ETFL011,EL4A,DK DAX,ETF,EUR,2504258,2022-04-25,13:46,125.32,125.32,125.32,125.32,149,1
IE00B4QNHH68,DEL2,L+G-L+G DAX DAILY 2X LONG,ETF,EUR,5140982,2022-04-25,13:46,298.3,298.3,298.3,298.3,1,1
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,13:46,192.34,192.34,192.02,192.02,1135,17
LU0378438732,C001,LYXOR CORE DAX U. ETF I,ETF,EUR,2504271,2022-04-25,13:46,118.26,118.26,118.26,118.26,672,2
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,13:46,96.13,96.13,95.98,95.98,3425,34
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2022-04-25,13:46,41.375,41.375,41.35,41.35,2747,13
LU0380865021,DXET,XTR.EURO STOXX 50 1C,ETF,EUR,2506406,2022-04-25,13:46,58.87,58.87,58.83,58.83,224,3
