ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2022-04-25,09:28,76.81,76.82,76.78,76.82,410,10
DE000SHL1006,SHL,SIEMENS HEALTH.AG NA O.N.,Common stock,EUR,3058562,2022-04-25,09:28,52.96,53,52.96,52.98,1338,9
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,09:28,149.3,149.4,149.26,149.4,582,17
DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO,Common stock,EUR,2504816,2022-04-25,09:28,79.92,79.92,79.9,79.9,159,3
DE0005800601,GFT,GFT TECHNOLOGIES SE,Common stock,EUR,2504977,2022-04-25,09:28,38.9,38.95,38.9,38.95,152,3
DE000A1TNV91,ADE,BITCOIN GROUP SE  O.N.,Common stock,EUR,2504520,2022-04-25,09:28,36.24,36.26,36.24,36.26,30,2
DE0005765507,XTP,SINO AG,Common stock,EUR,6951889,2022-04-25,09:28,96.2,96.2,96.2,96.2,50,1
DE0007236101,SIE,SIEMENS AG  NA O.N.,Common stock,EUR,2505088,2022-04-25,09:28,115.16,115.22,115.12,115.2,983,14
LU0411075020,DBPD,XTR.SHORTDAX X2 DA.SW. 1C,ETF,EUR,2504272,2022-04-25,09:28,1.601,1.601,1.5996,1.5998,359466,3
IE00BDQYWQ65,SXRH,ISHSII-DL TIPS 0-5 U.ETF,ETF,EUR,2505403,2022-04-25,09:28,4.8684,4.8684,4.8684,4.8684,1396,1
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2022-04-25,09:28,41.025,41.055,41.02,41.04,11395,24
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,09:28,94.98,95.1,94.97,95.08,7379,29
LU0514695690,XCS6,XTR.MSCI CHINA 1C,ETF,EUR,2506000,2022-04-25,09:28,13.084,13.088,13.084,13.088,347,2
DE000A0HL8N9,2GB,2G ENERGY AG,Common stock,EUR,2504311,2022-04-25,09:28,109.6,109.6,109.6,109.6,72,1
IE00BZ12WP82,LIN,"LINDE PLC        EO 0,001",Common stock,EUR,3553182,2022-04-25,09:28,286.8,286.8,286.75,286.75,766,6
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,09:28,192.5,192.68,192.46,192.68,159,6
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-04-25,09:28,31.07,31.08,31.04,31.05,1174,10
DE0005313704,AFX,CARL ZEISS MEDITEC AG,Common stock,EUR,2504922,2022-04-25,09:28,124.2,124.2,124.2,124.2,1,1
GB0007980591,BPE5,"BP PLC             DL-,25",Common stock,EUR,2505380,2022-04-25,09:28,4.435,4.435,4.435,4.435,450,1
US4581401001,INL,"INTEL CORP.       DL-,001",Common stock,EUR,2506509,2022-04-25,09:28,42.97,42.97,42.97,42.97,12,1
DE0005933931,EXS1,ISHS CORE DAX UC.ETF EOA,ETF,EUR,2504265,2022-04-25,09:28,117.5,117.56,117.5,117.54,40,3
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-04-25,09:28,10.49,10.49,10.486,10.488,2613,4
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2022-04-25,09:28,27.11,27.15,27.11,27.15,6162,17
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2022-04-25,09:28,64.9,64.9,64.9,64.9,100,1
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2022-04-25,09:28,41.28,41.29,41.28,41.29,572,3
DE0002635307,EXSA,ISH.STOX.EUROPE 600 U.ETF,ETF,EUR,2504871,2022-04-25,09:28,44.06,44.06,44.06,44.06,20,1
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-04-25,09:28,6.546,6.546,6.544,6.544,3570,10
DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2022-04-25,09:28,17.18,17.186,17.178,17.182,5201,11
DE0005933956,EXW1,ISH.CORE EO STOX.50 U.ETF,ETF,EUR,2506383,2022-04-25,09:28,37.69,37.71,37.69,37.71,14285,3
IE00BK5BQT80,VWCE,VANG.FTSE A.W. DLA,ETF,EUR,4260825,2022-04-25,09:28,97.1,97.12,97.08,97.12,27,5
LU0290357929,DBXH,XTR.II GL.INF.-LI.B.1CEOH,ETF,EUR,2505839,2022-04-25,09:28,248.25,248.25,248.25,248.25,298,1
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2022-04-25,09:28,38.76,38.76,38.76,38.76,313,1
NL0012044747,SAE,SHOP APOTHEKE EUROPE INH.,Common stock,EUR,2506271,2022-04-25,09:28,65.56,65.8,65.56,65.72,155,6
IE00BQN1K562,CEMQ,ISHSIV-E.MSCI EU.QU.F.EOA,ETF,EUR,2505476,2022-04-25,09:28,8.762,8.762,8.758,8.758,180,2
LU0274211480,DBXD,XTR.DAX 1C,ETF,EUR,2504269,2022-04-25,09:28,132.62,132.62,132.62,132.62,30,1
US67066G1040,NVD,"NVIDIA CORP.      DL-,001",Common stock,EUR,2506544,2022-04-25,09:28,179.68,179.68,179.6,179.68,76,3
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,09:28,51.55,51.58,51.54,51.56,1772,10
IE00B53L4350,SXRU,ISHSVII-DJIA DL ACC,ETF,EUR,2505728,2022-04-25,09:28,359.4,359.4,359.4,359.4,11,1
DE0006602006,G1A,GEA GROUP AG,Common stock,EUR,2505051,2022-04-25,09:28,37.33,37.33,37.31,37.31,118,3
DE000A0SMU87,NB2,NORTHERN DATA AG INH O.N.,Common stock,EUR,3487567,2022-04-25,09:28,50.45,50.45,50.45,50.45,35,1
IE00BM67HT60,XDWT,X(IE)-MSCI WO.IN.TE. 1CDL,ETF,EUR,2505461,2022-04-25,09:28,50.05,50.05,50.05,50.05,78,1
IE00B5L8K969,CEBL,ISHSVII-MSCI EM AS.DL ACC,ETF,EUR,2505690,2022-04-25,09:28,146.06,146.06,146.06,146.06,16,1
DE0008430026,MUV2,MUENCH.RUECKVERS.VNA O.N.,Common stock,EUR,2505134,2022-04-25,09:28,229.5,229.7,229.5,229.6,847,13
DE0007100000,MBG,MERCEDES-BENZ GRP NA O.N.,Common stock,EUR,2505076,2022-04-25,09:28,63.31,63.33,63.28,63.33,4231,10
DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2022-04-25,09:28,30.86,30.91,30.86,30.91,3871,11
DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2022-04-25,09:28,53.28,53.3,53.28,53.3,58,3
NL0000235190,AIR,AIRBUS SE,Common stock,EUR,2506257,2022-04-25,09:28,103.12,103.22,103.12,103.22,162,2
LU1673108939,AT1,"AROUNDTOWN EO-,01",Common stock,EUR,2653294,2022-04-25,09:28,4.887,4.89,4.886,4.889,9130,7
IE00BK1PV551,XDWL,X(IE)-MSCI WORLD 1D,ETF,EUR,2505443,2022-04-25,09:28,71.15,71.15,71.15,71.15,48,1
IT0005239360,CRIN,UNICREDIT,Common stock,EUR,2505810,2022-04-25,09:28,9.036,9.036,9.036,9.036,15,1
LU0380865021,DXET,XTR.EURO STOXX 50 1C,ETF,EUR,2506406,2022-04-25,09:28,58.34,58.34,58.34,58.34,43,1
DE0006969603,PUM,PUMA SE,Common stock,EUR,2505067,2022-04-25,09:28,71.82,71.92,71.82,71.92,437,7
DE000ENER6Y0,ENR,SIEMENS ENERGY AG NA O.N.,Common stock,EUR,5651167,2022-04-25,09:28,18.47,18.47,18.47,18.47,66,1
NL0000303709,AEND,AEGON NV (DEMAT.)   EO-12,Common stock,EUR,2506259,2022-04-25,09:28,5.07,5.07,5.07,5.07,100,1
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-04-25,09:28,38.39,38.46,38.39,38.44,2425,21
DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2022-04-25,09:28,214.6,214.7,214.6,214.7,226,4
IE00BYVQ9F29,NQSE,ISHSVII-NASDAQ 100 EOHACC,ETF,EUR,3434011,2022-04-25,09:28,8.404,8.404,8.404,8.404,23,1
US8334451098,5Q5,"SNOWFLAKE INC. A DL-,0001",Common stock,EUR,5822692,2022-04-25,09:28,160,160,160,160,44,1
