ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
AT0000743059,OMV,OMV AG,Common stock,EUR,2504175,2022-03-04,15:00,40.59,40.59,40.59,40.59,5,1
CA98462Y1007,RNY,YAMANA GOLD INC.,Common stock,EUR,2504201,2022-03-04,15:00,4.728,4.728,4.728,4.728,2600,1
CH0038389992,BBZA,"BB BIOTECH NAM.   SF 0,20",Common stock,EUR,2504244,2022-03-04,15:00,62.6,62.6,62.6,62.6,10,1
DE0005933931,EXS1,ISHS CORE DAX UC.ETF EOA,ETF,EUR,2504265,2022-03-04,15:00,112.08,112.16,112.06,112.16,1705,5
LU0274211480,DBXD,XTR.DAX 1C,ETF,EUR,2504269,2022-03-04,15:00,126.5,126.5,126.5,126.5,69,1
LU0411075020,DBPD,XTR.SHORTDAX X2 DA.SW. 1C,ETF,EUR,2504272,2022-03-04,15:00,1.84,1.84,1.84,1.84,25000,1
LU0411075376,DBPE,XTR.LEVDAX DA.SWAP 1C,ETF,EUR,2504273,2022-03-04,15:00,106.28,106.28,106.28,106.28,150,1
DE000A0B9N37,JDC,JDC GROUP AG O.N.,Common stock,EUR,2504284,2022-03-04,15:00,21,21,21,21,36,1
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2022-03-04,15:00,30.44,30.5,30.44,30.5,70,3
DE000A0D6554,NDX1,NORDEX SE O.N.,Common stock,EUR,2504290,2022-03-04,15:00,15.2,15.21,15.17,15.17,8487,12
DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2022-03-04,15:00,195.35,195.75,195.35,195.75,263,10
DE000A0F5UJ7,EXV1,IS.S.EU.600 BANK.U.ETF A.,ETF,EUR,2504306,2022-03-04,15:00,12.496,12.496,12.496,12.496,4002,2
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2022-03-04,15:00,34.87,34.87,34.86,34.87,335,3
DE000A0H08J9,EXH4,IS.S.E.600 I.G+S.U.ETF A.,ETF,EUR,2504327,2022-03-04,15:00,64.85,64.85,64.85,64.85,59,1
DE000A0H08M3,EXH1,IS.S.E.600 OIL+G.U.ETF A.,ETF,EUR,2504330,2022-03-04,15:00,30.16,30.21,30.16,30.195,10148,15
DE000A0H08Q4,EXV3,ISH.S.EU.600 TEC.U.ETF A.,ETF,EUR,2504333,2022-03-04,15:00,59.56,59.63,59.56,59.6,1765,15
DE000A0JBPG2,PNE3,PNE AG  NA O.N.,Common stock,EUR,2504337,2022-03-04,15:00,8.76,8.76,8.76,8.76,1150,2
DE000A0JK2A8,AR4,AURELIUS EQ.OPP.   O.N.,Common stock,EUR,2504340,2022-03-04,15:00,23.86,23.86,23.86,23.86,224,2
DE000A0JL9W6,VBK,VERBIO VER.BIOENERGIE  ON,Common stock,EUR,2504343,2022-03-04,15:00,65.3,65.35,65.2,65.2,913,11
DE000A0KRJ85,OD7R,WITR COM.SEC.DZ06/UN.SUGA,ETC,EUR,2504367,2022-03-04,15:00,8.827,8.827,8.827,8.827,120,1
DE000A0KRJ93,OD7S,WITR COM.SEC.DZ06/UN.WEAT,ETC,EUR,2504368,2022-03-04,15:00,1.32,1.32,1.32,1.32,2900,1
DE000A0MSN11,M7U,NYNOMIC AG  INH O.N.,Common stock,EUR,2504387,2022-03-04,15:00,29.1,29.1,29.1,29.1,50,1
DE000A0Q4R28,EXV5,ISH.S.EU.600 A+P U.ETF A.,ETF,EUR,2504393,2022-03-04,15:00,48.615,48.67,48.615,48.67,516,11
DE000A0S8488,HHFA,HAMBURG.HAFEN LOG.A-SP NA,Common stock,EUR,2504409,2022-03-04,15:00,13.74,13.78,13.74,13.78,184,4
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Common stock,EUR,2504428,2022-03-04,15:00,18.075,18.09,18.06,18.06,637,9
DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.,Common stock,EUR,2504438,2022-03-04,15:00,22.08,22.09,22.08,22.08,2328,7
DE000A0Z23Q5,ADN1,ADESSO SE  INH O.N.,Common stock,EUR,2504440,2022-03-04,15:00,195.4,195.4,195.4,195.4,21,1
