ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0005470306,EVD,CTS EVENTIM KGAA,Common stock,EUR,2504934,2022-04-25,07:02,65.35,65.6,65.2,65.55,739,14
DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2022-04-25,07:02,40.28,40.46,40.26,40.32,1971,16
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2022-04-25,07:02,38.89,38.9,38.79,38.82,7082,20
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,07:02,51.92,52,51.9,51.96,18504,61
DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2022-04-25,07:02,216.15,216.45,216.1,216.25,7526,46
DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG NA,Common stock,EUR,2504492,2022-04-25,07:02,2.803,2.809,2.803,2.805,18766,24
DE0007500001,TKA,THYSSENKRUPP AG O.N.,Common stock,EUR,2505105,2022-04-25,07:02,7.072,7.096,7.068,7.076,39726,38
DE0006048432,HEN3,HENKEL AG+CO.KGAA VZO,Common stock,EUR,2505004,2022-04-25,07:02,59.8,59.84,59.72,59.82,3265,20
DE0006048408,HEN,HENKEL AG+CO.KGAA ST O.N.,Common stock,EUR,2505003,2022-04-25,07:02,58.95,59,58.85,58.85,1249,7
DE000A2NB601,JEN,JENOPTIK AG  NA O.N.,Common stock,EUR,3417691,2022-04-25,07:02,25.36,25.48,25.36,25.46,888,11
DE000A2YN504,KTA,KNAUS AG  INH O.N.,Common stock,EUR,5635615,2022-04-25,07:02,41.8,41.8,41.8,41.8,180,1
DE0007042301,RHK,RHOEN-KLINIKUM O.N.,Common stock,EUR,2505074,2022-04-25,07:02,14.75,14.75,14.75,14.75,7,1
DE000TUAG000,TUI1,TUI AG NA O.N.,Common stock,EUR,2504855,2022-04-25,07:02,2.751,2.761,2.733,2.761,417194,81
DE0005089031,UTDI,UTD.INTERNET AG NA,Common stock,EUR,2504878,2022-04-25,07:02,30.08,30.11,30.07,30.07,1001,15
DE000A12DM80,G24,SCOUT24 SE NA O.N.,Common stock,EUR,2504556,2022-04-25,07:02,57,57.02,56.66,56.78,783,13
DE000A11QW68,HRPK,7C SOLARPARKEN AG  O.N.,Common stock,EUR,2504548,2022-04-25,07:02,4.47,4.47,4.46,4.46,4101,3
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2022-04-25,07:02,40.94,41.05,40.93,40.97,4356,31
DE000A1TNWJ4,MPCK,MPC MUENCH.PET.CAP.,Common stock,EUR,2504521,2022-04-25,07:02,3.83,3.83,3.83,3.83,1466,1
DE0006656101,MWB,MWB FAIRTRADE WPHDLSBK AG,Common stock,EUR,2505058,2022-04-25,07:02,11.65,11.65,11.65,11.65,2,1
DE0007236101,SIE,SIEMENS AG  NA O.N.,Common stock,EUR,2505088,2022-04-25,07:02,116.42,116.62,116.32,116.6,7246,47
DE0007229007,SWA,SCHLOSS WACHENHEIM AG O.N,Common stock,EUR,2505084,2022-04-25,07:02,18.5,18.5,18.5,18.5,50,1
DE0008232125,LHA,LUFTHANSA AG VNA O.N.,Common stock,EUR,2505130,2022-04-25,07:02,7.129,7.15,7.122,7.15,105975,50
DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2022-04-25,07:02,31.73,32,31.65,32,14470,66
DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2022-04-25,07:02,10.065,10.08,10.06,10.075,16379,15
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-04-25,07:02,6.654,6.668,6.638,6.668,51583,43
