ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE000A1DAHH0,BNR,BRENNTAG SE NA O.N.,Common stock,EUR,2504453,2022-04-25,10:42,72.98,72.98,72.98,72.98,283,5
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,10:42,191.82,191.82,191.56,191.6,632,11
DE0007100000,MBG,MERCEDES-BENZ GRP NA O.N.,Common stock,EUR,2505076,2022-04-25,10:42,63.34,63.35,63.32,63.32,854,8
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2022-04-25,10:42,27.32,27.325,27.305,27.305,6918,15
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2022-04-25,10:42,40.97,40.97,40.95,40.955,3033,13
IE00B6R52036,IS0E,ISV-GOLD.PROD.U.ETF DLA,ETF,EUR,2505739,2022-04-25,10:42,14.216,14.248,14.216,14.242,2090,8
US90184L1026,TWR,"TWITTER INC.   DL-,000005",Common stock,EUR,2506580,2022-04-25,10:42,45.8,45.8,45.695,45.695,623,4
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2022-04-25,10:42,64.97,64.98,64.95,64.97,1282,8
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,10:42,95.2,95.2,95.16,95.16,3029,17
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-04-25,10:42,10.5,10.5,10.494,10.494,3602,5
DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2022-04-25,10:42,17.162,17.162,17.156,17.156,5591,7
DE000A3H2200,NA9,NAGARRO SE  NA O.N.,Common stock,EUR,5906903,2022-04-25,10:42,135.6,135.6,135.4,135.4,730,7
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,10:42,149.34,149.46,149.3,149.3,2417,22
NL0000235190,AIR,AIRBUS SE,Common stock,EUR,2506257,2022-04-25,10:42,103.72,103.74,103.72,103.74,401,2
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2022-04-25,10:42,77.01,77.04,77,77.01,708,8
DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2022-04-25,10:42,38.08,38.12,38.08,38.12,274,4
DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO,Common stock,EUR,2504816,2022-04-25,10:42,79.72,79.72,79.7,79.7,96,3
GB0007980591,BPE5,"BP PLC             DL-,25",Common stock,EUR,2505380,2022-04-25,10:42,4.4315,4.4315,4.4315,4.4315,12,1
DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2022-04-25,10:42,53.56,53.6,53.56,53.6,164,5
NL0012044747,SAE,SHOP APOTHEKE EUROPE INH.,Common stock,EUR,2506271,2022-04-25,10:42,67.02,67.02,67.02,67.02,27,2
DE0007030009,RHM,RHEINMETALL AG,Common stock,EUR,2505071,2022-04-25,10:42,219.7,219.7,219.1,219.5,1212,18
DE000VTSC017,VTSC,VITESCO TECHS GRP NA O.N.,Common stock,EUR,6791383,2022-04-25,10:42,35.68,35.68,35.6,35.66,430,8
LU1250154413,ADJ,ADLER GROUP S.A. NPV,Common stock,EUR,2506119,2022-04-25,10:42,10,10.02,10,10.02,4359,3
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-04-25,10:42,38.69,38.72,38.69,38.72,862,4
US5949181045,MSF,"MICROSOFT    DL-,00000625",Common stock,EUR,2506530,2022-04-25,10:42,252.75,252.9,252.65,252.9,583,6
IE00BLRB0242,G1CE,INVESCOM2 CLEAN ENERGY A,ETF,EUR,6174625,2022-04-25,10:42,25.58,25.58,25.58,25.58,10,1
DE0005439004,CON,CONTINENTAL AG O.N.,Common stock,EUR,2504933,2022-04-25,10:42,64.86,64.88,64.84,64.86,466,8
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-04-25,10:42,6.504,6.504,6.504,6.504,2176,5
GB0007188757,RIO1,"RIO TINTO PLC      LS-,10",Common stock,EUR,2505378,2022-04-25,10:42,64.32,64.36,64.32,64.33,587,6
DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2022-04-25,10:42,214.15,214.15,214.05,214.1,974,7
IE00B4L5Y983,EUNL,ISHSIII-CORE MSCI WLD DLA,ETF,EUR,2505656,2022-04-25,10:42,73.628,73.646,73.628,73.646,26,2
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,10:42,51.45,51.47,51.43,51.43,5433,18
DE000A161408,HFG,HELLOFRESH SE  INH O.N.,Common stock,EUR,2759535,2022-04-25,10:42,35.41,35.41,35.38,35.38,182,3
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2022-04-25,10:42,52.6,52.6,52.6,52.6,15,1
US79466L3024,FOO,"SALESFORCE INC.   DL-,001",Common stock,EUR,4440633,2022-04-25,10:42,159.1,159.1,159.1,159.1,15,1
AT0000743059,OMV,OMV AG,Common stock,EUR,2504175,2022-04-25,10:42,45.12,45.12,45.12,45.12,27,1
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2022-04-25,10:42,41.12,41.13,41.11,41.13,484,7
IE00BLCH4S17,DGEN,HANETF-ICLIMA S.ENER. DLA,ETF,EUR,6565923,2022-04-25,10:42,5.67,5.67,5.67,5.67,850,1
DE000HAG0005,HAG,HENSOLDT AG INH O.N.,Common stock,EUR,5645114,2022-04-25,10:42,25.15,25.15,25.15,25.15,278,3
IE00B4L5YC18,EUNM,ISHSIII-MSCI EM USD(ACC),ETF,EUR,2505654,2022-04-25,10:42,32.951,32.951,32.951,32.951,1501,4
US0846707026,BRYN,"BERKSH. H.B NEW DL-,00333",Common stock,EUR,2506447,2022-04-25,10:42,308.45,308.45,308.45,308.45,10,1
DE000SHL1006,SHL,SIEMENS HEALTH.AG NA O.N.,Common stock,EUR,3058562,2022-04-25,10:42,53.3,53.32,53.3,53.3,685,6
DE0007236101,SIE,SIEMENS AG  NA O.N.,Common stock,EUR,2505088,2022-04-25,10:42,115.54,115.56,115.46,115.46,811,10
DE0005810055,DB1,DEUTSCHE BOERSE NA O.N.,Common stock,EUR,2504978,2022-04-25,10:42,161,161,161,161,67,1
