ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
IE00BWBXM278,ZPDD,SPDR S+P US.C.DI.S.S.UETF,ETF,EUR,2505504,2022-04-25,08:00,45.145,45.145,45.145,45.145,360,1
US92826C8394,3V64,"VISA INC. CL. A DL -,0001",Common stock,EUR,2506594,2022-04-25,08:00,192.5,192.54,192.1,192.4,275,8
US90184L1026,TWR,"TWITTER INC.   DL-,000005",Common stock,EUR,2506580,2022-04-25,08:00,46.7,46.7,46.4,46.5,2994,26
US0378331005,APC,APPLE INC.,Common stock,EUR,2506434,2022-04-25,08:00,149.74,150,149.5,149.64,3519,71
US46625H1005,CMC,JPMORGAN CHASE       DL 1,Common stock,EUR,2506513,2022-04-25,08:00,116.92,116.92,116,116,65,2
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2506427,2022-04-25,08:00,2676,2676,2672,2672,134,14
US72919P2020,PLUN,"PLUG POWER INC. DL-,01",Common stock,EUR,4593382,2022-04-25,08:00,20.49,20.49,20.345,20.345,108,2
US6745991058,OPC,"OCCIDENTAL PET.    DL-,20",Common stock,EUR,2506545,2022-04-25,08:00,50.98,51.2,50.9,50.9,1531,5
US67066G1040,NVD,"NVIDIA CORP.      DL-,001",Common stock,EUR,2506544,2022-04-25,08:00,180.54,180.54,179.48,179.8,1002,60
US88160R1014,TL0,"TESLA INC. DL -,001",Common stock,EUR,2506575,2022-04-25,08:00,926.7,927.9,921,921.3,1255,73
US0311621009,AMG,"AMGEN INC.       DL-,0001",Common stock,EUR,2506432,2022-04-25,08:00,231.25,231.25,231.25,231.25,2,2
US02079K1079,ABEC,"ALPHABET INC.CL C DL-,001",Common stock,EUR,2506423,2022-04-25,08:00,2213,2216,2213,2213,27,14
US3364331070,F3A,"FIRST SOLAR INC. D -,001",Common stock,EUR,2506486,2022-04-25,08:00,66.4,66.4,66.4,66.4,10,1
US98980L1017,5ZM,"ZOOM VIDEO COMM. A -,001",Common stock,EUR,5824569,2022-04-25,08:00,92.78,92.78,92,92,207,5
IE00BWBXM492,ZPDE,SPDR S+P US EN.SEL.S.UETF,ETF,EUR,2505506,2022-04-25,08:00,24.57,24.57,24.5,24.55,2099,3
US30303M1027,FB2A,"META PLATF.  A DL-,000006",Common stock,EUR,2506484,2022-04-25,08:00,170.24,170.5,169.78,169.78,2300,63
US4581401001,INL,"INTEL CORP.       DL-,001",Common stock,EUR,2506509,2022-04-25,08:00,43.15,43.18,43.075,43.075,695,7
US19260Q1076,1QZ,"COINBASE GLB.CL.A -,00001",Common stock,EUR,6305003,2022-04-25,08:00,120.98,121,120.96,120.98,389,13
US20825C1045,YCP,"CONOCOPHILLIPS     DL-,01",Common stock,EUR,2506465,2022-04-25,08:00,87.55,87.81,87.55,87.81,218,2
US70450Y1038,2PP,"PAYPAL HDGS INC.DL-,0001",Common stock,EUR,2506551,2022-04-25,08:00,79.82,79.82,79.52,79.58,1856,47
CA67077M1086,N7T,NUTRIEN LTD,Common stock,EUR,6293347,2022-04-25,08:00,96.06,96.06,94.72,94.72,414,8
US35671D8570,FPMB,FREEPORT-MCMORAN INC.,Common stock,EUR,4581994,2022-04-25,08:00,37.92,38.11,37.765,37.765,330,17
US02079K3059,ABEA,"ALPHABET INC.CL.A DL-,001",Common stock,EUR,2506424,2022-04-25,08:00,2216.5,2218.5,2212,2214,169,22
CH1114873776,ASOL,21SHARES SOLANA ETP OE,ETN,EUR,6849645,2022-04-25,08:00,54.41,54.41,54.41,54.41,167,1
US5398301094,LOM,LOCKHEED MARTIN    DL 1,Common stock,EUR,2506523,2022-04-25,08:00,412.9,412.9,412.9,412.9,8,1
US00165C1045,AH9,AMC ENTERTAINMENT HLDGS A,Common stock,EUR,6303374,2022-04-25,08:00,15.324,15.324,15.324,15.324,461,3
US8522341036,SQ3,BLOCK INC. A,Common stock,EUR,5822693,2022-04-25,08:00,94.79,94.79,94.18,94.18,503,3
US3453708600,FMC1,"FORD MOTOR         DL-,01",Common stock,EUR,2506489,2022-04-25,08:00,13.77,13.9,13.77,13.845,1413,5
US0970231058,BCO,BOEING CO.           DL 5,Common stock,EUR,2506450,2022-04-25,08:00,163.82,164.08,163.82,164.08,340,5
US02376R1023,A1G,AMERICAN AIRLINES GRP,Common stock,EUR,4581991,2022-04-25,08:00,18.66,18.66,18.66,18.66,585,1
US9100471096,UAL1,"UTD AIRLINES HLDGS DL-,01",Common stock,EUR,5822695,2022-04-25,08:00,47.395,47.395,47.395,47.395,128,1
US55616P1049,FDO,"MACYS, INC.        DL-,01",Common stock,EUR,4542822,2022-04-25,08:00,22.555,22.585,22.555,22.585,324,3
US91324P1021,UNH,"UNITEDHEALTH GROUP DL-,01",Common stock,EUR,4440634,2022-04-25,08:00,483.95,483.95,483.45,483.45,31,3
US1491231015,CAT1,CATERPILLAR INC.     DL 1,Common stock,EUR,2506453,2022-04-25,08:00,200,200,200,200,4,1
US4227041062,HCL,"HECLA MNG          DL-,25",Common stock,EUR,4593373,2022-04-25,08:00,5.525,5.525,5.525,5.525,20,1
US7170811035,PFE,"PFIZER INC.        DL-,05",Common stock,EUR,2506553,2022-04-25,08:00,44.64,44.66,44.58,44.66,50,7
DE0007314007,HDD,HEIDELBERG.DRUCKMA.O.N.,Common stock,EUR,2505096,2022-04-25,08:00,2.18,2.19,2.174,2.178,67475,25
US60770K1079,0QF,"MODERNA INC.     DL-,0001",Common stock,EUR,5863881,2022-04-25,08:00,129.62,129.62,129.5,129.5,278,5
US6516391066,NMM,"NEWMONT CORP.     DL 1,60",Common stock,EUR,4536469,2022-04-25,08:00,67.91,67.91,67.81,67.81,288,4
US01609W1027,AHLA,ALIBABA GR.HLDG SP.ADR 8,Common stock,EUR,2506421,2022-04-25,08:00,77.85,77.9,77.5,77.5,1203,13
US1667641005,CHV,"CHEVRON CORP.      DL-,75",Common stock,EUR,2506456,2022-04-25,08:00,147.3,147.3,147,147,191,2
US8447411088,SWN,SOUTHW. AIRL. CO.    DL 1,Common stock,EUR,4581996,2022-04-25,08:00,43.27,43.27,42.925,42.925,86,2
US0605051046,NCB,"BANK AMERICA      DL 0,01",Common stock,EUR,2506443,2022-04-25,08:00,34.7,34.7,34.64,34.64,936,5
US1858991011,CVA,"CLEVELAND-CLIFFS  DL-,125",Common stock,EUR,4688443,2022-04-25,08:00,26.37,26.37,26.365,26.365,449,2
US6826801036,ONK,"ONEOK INC. (NEW)   DL-,01",Common stock,EUR,5993755,2022-04-25,08:00,63.8,63.8,63.8,63.8,56,1
US0138721065,185,ALCOA CORP. O.N.,Common stock,EUR,4688439,2022-04-25,08:00,61.89,61.89,61.89,61.89,10,1
CA9628791027,SII,WHEATON PREC. METALS,Common stock,EUR,2504200,2022-04-25,08:00,44.215,44.215,44.215,44.215,190,1
US4592001014,IBM,"INTL BUS. MACH.    DL-,20",Common stock,EUR,2506510,2022-04-25,08:00,128.08,128.08,128,128,140,3
CA0679011084,ABR,BARRICK GOLD CORP.,Common stock,EUR,2504196,2022-04-25,08:00,21.585,21.585,21.585,21.585,1,1
CA32076V1031,FMV,FIRST MAJESTIC SILVER,Common stock,EUR,2504197,2022-04-25,08:00,10.638,10.658,10.638,10.658,90,11
DE000PAT1AG3,PAT,PATRIZIA AG NA ON,Common stock,EUR,2504817,2022-04-25,08:00,16.16,16.16,16.16,16.16,32,1
US9129091081,USX1,UNITED STATES STEEL  DL 1,Common stock,EUR,4688438,2022-04-25,08:00,31.2,31.2,31.2,31.2,50,1
US89417E1091,PA9,TRAVELERS COS INC.,Common stock,EUR,4582015,2022-04-25,08:00,159.1,159.1,159.1,159.1,29,1
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-04-25,08:00,39.54,39.55,39.5,39.55,500,7
IE00BQQP9F84,G2X,VANECK GOLD MINERS UC.ETF,ETF,EUR,2505479,2022-04-25,08:00,36.2,36.23,36.2,36.23,69,2
US88339J1051,TT8,"THE TRA.DESK A DL-,000001",Common stock,EUR,6001414,2022-04-25,08:00,54.93,54.93,54.93,54.93,3,1
IE00B42NKQ00,QDVF,ISHSV-S+P500ENER.SECT.DLA,ETF,EUR,2505671,2022-04-25,08:00,6.422,6.422,6.422,6.422,153,2
US17275R1023,CIS,"CISCO SYSTEMS    DL-,001",Common stock,EUR,2506458,2022-04-25,08:00,47.5,47.5,47.5,47.5,200,3
US5949181045,MSF,"MICROSOFT    DL-,00000625",Common stock,EUR,2506530,2022-04-25,08:00,253.6,253.6,253.15,253.15,3,2
DE000SYM9999,SY1,SYMRISE AG INH. O.N.,Common stock,EUR,2504852,2022-04-25,08:00,108,108.1,108,108.1,305,8
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-04-25,08:00,6.646,6.646,6.636,6.646,7437,15
US8552441094,SRB,STARBUCKS CORP.,Common stock,EUR,2506569,2022-04-25,08:00,72.09,72.09,72.09,72.09,98,2
US5951121038,MTE,"MICRON TECHN. INC. DL-,10",Common stock,EUR,2506531,2022-04-25,08:00,64.18,64.21,63.92,64.09,822,14
DE0007030009,RHM,RHEINMETALL AG,Common stock,EUR,2505071,2022-04-25,08:00,214.6,215,214.6,214.9,541,15
US0079031078,AMD,"ADVANCED MIC.DEV.  DL-,01",Common stock,EUR,2506418,2022-04-25,08:00,81.24,81.49,81.24,81.49,137,3
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,08:00,51.81,51.82,51.76,51.82,13087,30
IE00B4L5Y983,EUNL,ISHSIII-CORE MSCI WLD DLA,ETF,EUR,2505656,2022-04-25,08:00,73.77,73.77,73.7,73.718,760,6
DE000A0HHJR3,CLIQ,CLIQ DIGITAL AG  O.N.,Common stock,EUR,2504310,2022-04-25,08:00,25.85,25.85,25.85,25.85,23,1
DE0006766504,NDA,AURUBIS AG,Common stock,EUR,2505060,2022-04-25,08:00,104.35,104.4,104.2,104.35,190,7
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,08:00,194.58,194.64,194.34,194.64,4313,41
DE0006048432,HEN3,HENKEL AG+CO.KGAA VZO,Common stock,EUR,2505004,2022-04-25,08:00,60.94,60.96,60.84,60.88,979,13
US30231G1022,XONA,EXXON MOBIL CORP.,Common stock,EUR,2506483,2022-04-25,08:00,77.68,77.81,77.51,77.81,72,3
US8636671013,SYK,"STRYKER CORP.      DL-,10",Common stock,EUR,4554113,2022-04-25,08:00,230.15,230.15,229.5,229.5,41,2
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2022-04-25,08:00,39.6,39.6,39.5,39.5,2035,6
DE0008051004,WUW,WUESTENROT+WUERTT.AG O.N.,Common stock,EUR,2505128,2022-04-25,08:00,18.04,18.04,18.04,18.04,98,1
DE000HAG0005,HAG,HENSOLDT AG INH O.N.,Common stock,EUR,5645114,2022-04-25,08:00,25.1,25.15,25.1,25.15,208,3
US3647601083,GAP,"GAP INC.           DL-,05",Common stock,EUR,6001402,2022-04-25,08:00,10.88,10.88,10.88,10.88,4,1
DE0005773303,FRA,FRAPORT AG FFM.AIRPORT,Common stock,EUR,2504970,2022-04-25,08:00,52.52,52.52,52.52,52.52,60,1
US64110L1061,NFC,"NETFLIX INC.      DL-,001",Common stock,EUR,2506536,2022-04-25,08:00,198.58,198.58,198,198,461,14
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2022-04-25,08:00,27.36,27.415,27.345,27.415,7293,20
DE0005313704,AFX,CARL ZEISS MEDITEC AG,Common stock,EUR,2504922,2022-04-25,08:00,126.85,127,126.8,126.95,213,7
CA0585861085,PO0,BALLARD PWR SYS,Common stock,EUR,6293344,2022-04-25,08:00,8.13,8.13,8.13,8.13,25,1
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2022-04-25,08:00,41.4,41.42,41.37,41.4,3346,22
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,08:00,95.34,95.39,95.24,95.39,7431,50
DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2022-04-25,08:00,38.96,38.98,38.94,38.94,315,5
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2022-04-25,08:00,77.25,77.25,77.12,77.22,3336,35
US8825081040,TII,TEXAS INSTR.         DL 1,Common stock,EUR,4473173,2022-04-25,08:00,160.98,160.98,160.98,160.98,10,1
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-04-25,08:00,10.658,10.66,10.638,10.652,38263,38
DE0007100000,MBG,MERCEDES-BENZ GRP NA O.N.,Common stock,EUR,2505076,2022-04-25,08:00,63.58,63.6,63.49,63.6,7918,49
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2022-04-25,08:00,41.3,41.33,41.275,41.315,5911,32
IE00BM67HM91,XDW0,X(IE)-MSCI WO.ENERGY 1CDL,ETF,EUR,2505455,2022-04-25,08:00,36.82,36.82,36.725,36.725,62,2
DE000WCH8881,WCH,WACKER CHEMIE        O.N.,Common stock,EUR,2504860,2022-04-25,08:00,169.75,169.75,169.6,169.6,105,7
GB0009895292,ZEG,"ASTRAZENECA PLC    DL-,25",Common stock,EUR,2505384,2022-04-25,08:00,120.65,120.65,120.65,120.65,21,1
IE00B1FZS467,IQQI,ISHSII-GL INFRASTR.DLDIS,ETF,EUR,2505588,2022-04-25,08:00,31.715,31.715,31.675,31.675,1003,3
DE000A255F11,VH2,FR.VORWERK GRP SE INH ON,Common stock,EUR,6257326,2022-04-25,08:00,31.15,31.15,31.15,31.15,81,1
DE000A3GMKD7,ZETH,ETC ISSUANCE O.END ETN,ETN,EUR,6183194,2022-04-25,08:00,25.7,25.7,25.654,25.654,5771,5
US00507V1098,AIY,ACTIVISION BLIZZARD INC.,Common stock,EUR,4520898,2022-04-25,08:00,73.04,73.04,73.04,73.04,93,1
DE000UNSE018,UN01,UNIPER SE  NA O.N.,Common stock,EUR,2504856,2022-04-25,08:00,24.34,24.34,24.34,24.34,114,1
US37045V1008,8GM,"GENERAL MOTORS     DL-,01",Common stock,EUR,2506494,2022-04-25,08:00,36.72,36.72,36.72,36.72,19,1
IE00BYZK4776,2B78,ISHS IV-HEALTHC.INNOV.ETF,ETF,EUR,2505553,2022-04-25,08:00,7.09,7.09,7.09,7.09,2,1
CH0454664027,ETHA,21SHARES ETHER ETP OE,ETN,EUR,6183195,2022-04-25,08:00,29.22,29.22,29.194,29.194,2522,3
US09247X1019,BLQA,"BLACKROCK  CL. A DL -,01",Common stock,EUR,4554105,2022-04-25,08:00,616.5,616.5,616.5,616.5,3,1
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-04-25,08:00,31.09,31.11,31.09,31.11,204,2
US2546871060,WDP,DISNEY (WALT) CO.,Common stock,EUR,2506474,2022-04-25,08:00,109.62,109.62,109.62,109.62,9,1
DE000A3CQ7F4,BIKE,BIKE24 HLDG O.N.,Common stock,EUR,6560091,2022-04-25,08:00,7.42,7.45,7.42,7.45,118,3
DE0007500001,TKA,THYSSENKRUPP AG O.N.,Common stock,EUR,2505105,2022-04-25,08:00,7.024,7.024,7.012,7.014,22414,24
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,08:00,149.86,149.9,149.68,149.84,2886,31
