ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
AT0000743059,OMV,OMV AG,Common stock,EUR,2504175,2022-01-14,13:00,53.66,53.66,53.66,53.66,25,1
AT0000821103,UN9,UNIQA INSURANCE GROUP AG,Common stock,EUR,2504182,2022-01-14,13:00,8.38,8.38,8.38,8.38,230,1
CA0679011084,ABR,BARRICK GOLD CORP.,Common stock,EUR,2504196,2022-01-14,13:00,16.38,16.392,16.38,16.39,484,3
DE000ETFL060,EL4F,DK DAX (AUSSCHUETTEND),ETF,EUR,2504259,2022-01-14,13:00,67.03,67.03,67.03,67.03,81,1
DE0005933931,EXS1,ISHS CORE DAX UC.ETF EOA,ETF,EUR,2504265,2022-01-14,13:00,134.38,134.38,134.22,134.22,296,3
LU0274211480,DBXD,XTR.DAX 1C,ETF,EUR,2504269,2022-01-14,13:00,151.64,151.64,151.56,151.56,65,2
DE000A0BVU28,OSP2,USU SOFTWARE AG,Common stock,EUR,2504280,2022-01-14,13:00,24.9,24.9,24.8,24.8,380,2
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2022-01-14,13:00,32.6,32.6,32.6,32.6,600,2
DE000A0D8Q07,EXSI,ISHARES EURO STOXX U.ETF,ETF,EUR,2504292,2022-01-14,13:00,47.17,47.17,47.17,47.17,52,1
DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2022-01-14,13:00,196.5,196.5,196.3,196.4,222,11
DE000A0F5UF5,EXXT,ISHARES NASDAQ-100 U.ETF,ETF,EUR,2504303,2022-01-14,13:00,130.5,130.5,130.5,130.5,31,1
DE000A0F5UH1,ISPA,IS.S.GL.SE.D.100 U.ETF A.,ETF,EUR,2504305,2022-01-14,13:00,30.95,30.95,30.95,30.95,9,1
DE000A0F5UJ7,EXV1,IS.S.EU.600 BANK.U.ETF A.,ETF,EUR,2504306,2022-01-14,13:00,15.984,15.984,15.984,15.984,2000,6
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2022-01-14,13:00,36.74,36.74,36.74,36.74,23,2
DE000A0H0744,EXXW,IS.DJ AS.PAC.S.D.50 U.ETF,ETF,EUR,2504316,2022-01-14,13:00,24.47,24.47,24.47,24.47,155,1
DE000A0H08G5,EXH2,IS.S.E.600 FIN.S.U.ETF A.,ETF,EUR,2504325,2022-01-14,13:00,72.52,72.52,72.52,72.52,10,2
DE000A0H08J9,EXH4,IS.S.E.600 I.G+S.U.ETF A.,ETF,EUR,2504327,2022-01-14,13:00,76.84,76.84,76.84,76.84,200,2
DE000A0H08Q4,EXV3,ISH.S.EU.600 TEC.U.ETF A.,ETF,EUR,2504333,2022-01-14,13:00,72.82,72.82,72.82,72.82,300,1
DE000A0JBPG2,PNE3,PNE AG  NA O.N.,Common stock,EUR,2504337,2022-01-14,13:00,8.79,8.81,8.79,8.81,1710,3
DE000A0JK2A8,AR4,AURELIUS EQ.OPP.   O.N.,Common stock,EUR,2504340,2022-01-14,13:00,29,29.02,29,29.02,214,4
DE000A0JL9W6,VBK,VERBIO VER.BIOENERGIE  ON,Common stock,EUR,2504343,2022-01-14,13:00,52.2,52.2,52.1,52.15,320,7
DE000A0KRJU0,OD7C,WITR COM.SEC.DZ06/UN.COPA,ETC,EUR,2504359,2022-01-14,13:00,34.804,34.804,34.68,34.68,71,3
DE000A0LAUP1,CE2,CROPENERGIES AG,Common stock,EUR,2504376,2022-01-14,13:00,12.88,12.88,12.88,12.88,2,1
DE000A0LD2U1,AOX,ALSTRIA OFFICE REIT-AG,Common stock,EUR,2504379,2022-01-14,13:00,19.51,19.51,19.51,19.51,228,1
DE000A0LD6E6,GXI,GERRESHEIMER AG,Common stock,EUR,2504380,2022-01-14,13:00,79.55,79.55,79.5,79.5,231,3
DE000A0Q4R28,EXV5,ISH.S.EU.600 A+P U.ETF A.,ETF,EUR,2504393,2022-01-14,13:00,65.59,65.59,65.59,65.59,95,1
DE000A0S8488,HHFA,HAMBURG.HAFEN LOG.A-SP NA,Common stock,EUR,2504409,2022-01-14,13:00,20.32,20.32,20.32,20.32,3,1
DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.,Common stock,EUR,2504438,2022-01-14,13:00,24.05,24.05,24.04,24.04,3154,5
DE000A0Z23Q5,ADN1,ADESSO SE  INH O.N.,Common stock,EUR,2504440,2022-01-14,13:00,190.6,190.8,190.6,190.8,32,2
DE000A1DAHH0,BNR,BRENNTAG SE NA O.N.,Common stock,EUR,2504453,2022-01-14,13:00,77.46,77.46,77.36,77.36,512,5
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-01-14,13:00,252.55,252.55,252.2,252.2,1537,37
DE000A1H8BV3,NOEJ,NORMA GROUP SE NA O.N.,Common stock,EUR,2504474,2022-01-14,13:00,34.92,34.92,34.88,34.9,282,7
DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG NA,Common stock,EUR,2504492,2022-01-14,13:00,2.508,2.508,2.508,2.508,5693,2
DE000A1K0235,SMHN,SUESS MICROTEC SE NA O.N.,Common stock,EUR,2504495,2022-01-14,13:00,19.5,19.5,19.5,19.5,833,9
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2022-01-14,13:00,48.02,48.03,47.98,47.98,10824,23
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2022-01-14,13:00,52.46,52.46,52.46,52.46,90,2
DE000A1TNUT7,DBAN,DT.BETEILIG.AG   NA O.N.,Common stock,EUR,2504519,2022-01-14,13:00,39.05,39.05,39.05,39.05,230,2
DE000A1X3XX4,DIC,DIC ASSET AG NA O.N.,Common stock,EUR,2504532,2022-01-14,13:00,15.51,15.51,15.51,15.51,62,1
DE000A12DM80,G24,SCOUT24 SE NA O.N.,Common stock,EUR,2504556,2022-01-14,13:00,58.7,58.7,58.68,58.68,1871,13
DE000A161N30,GLJ,GRENKE AG NA O.N.,Common stock,EUR,2504606,2022-01-14,13:00,31.3,31.3,31.28,31.29,591,6
DE000A1681X5,SNG,SINGULUS TECHNOL. EO 1,Common stock,EUR,2504610,2022-01-14,13:00,4.16,4.16,4.16,4.16,500,1
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-01-14,13:00,67.54,67.55,67.45,67.45,8124,32
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2022-01-14,13:00,51.8,51.8,51.76,51.76,26639,41
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-01-14,13:00,7.445,7.445,7.434,7.434,22806,30
DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2022-01-14,13:00,12.234,12.234,12.23,12.23,14349,14
DE000ETFL326,EL46,DK MSCI CHIN.EX A SH.U.E.,ETF,EUR,2504708,2022-01-14,13:00,9.011,9.011,9.011,9.011,480,1
DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.,Common stock,EUR,2504806,2022-01-14,13:00,28.63,28.65,28.61,28.61,7156,19
DE000FTG1111,FTK,FLATEXDEGIRO AG NA O.N.,Common stock,EUR,2504808,2022-01-14,13:00,18.75,18.75,18.74,18.74,872,7
DE000HLAG475,HLAG,HAPAG-LLOYD AG NA O.N.,Common stock,EUR,2504809,2022-01-14,13:00,266.2,266.2,266.2,266.2,19,2
DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2022-01-14,13:00,11.04,11.04,11.03,11.03,1796,6
DE000KGX8881,KGX,KION GROUP AG,Common stock,EUR,2504811,2022-01-14,13:00,92.14,92.14,92.12,92.12,338,8
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-01-14,13:00,17.95,17.96,17.95,17.96,1175,3
DE000LEG1110,LEG,LEG IMMOBILIEN SE NA O.N.,Common stock,EUR,2504814,2022-01-14,13:00,117.4,117.4,117.35,117.35,34,3
DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO,Common stock,EUR,2504816,2022-01-14,13:00,88.2,88.2,88.1,88.1,5110,50
DE000PAT1AG3,PAT,PATRIZIA AG NA ON,Common stock,EUR,2504817,2022-01-14,13:00,20.3,20.3,20.3,20.3,343,3
