ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0005408686,VVV3,OEKOWORLD AG VZNA O.N.,Common stock,EUR,2504928,2022-04-25,09:50,70.2,70.2,70.2,70.2,31,1
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-04-25,09:50,38.62,38.63,38.58,38.59,1378,12
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-04-25,09:50,31.1,31.13,31.1,31.1,435,8
DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2022-04-25,09:50,30.96,30.97,30.93,30.93,1612,11
IE00BYVQ9F29,NQSE,ISHSVII-NASDAQ 100 EOHACC,ETF,EUR,3434011,2022-04-25,09:50,8.43,8.43,8.43,8.43,25,1
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2022-04-25,09:50,52.84,52.88,52.84,52.88,1929,7
LU1650488494,LYQ3,MUL-LX.EO GOV.BD 3-5Y A,ETF,EUR,2812593,2022-04-25,09:50,147.185,147.185,147.17,147.17,6,2
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,09:50,150.12,150.14,150.04,150.12,868,21
LU0380865021,DXET,XTR.EURO STOXX 50 1C,ETF,EUR,2506406,2022-04-25,09:50,58.6,58.62,58.59,58.59,649,3
DE000HLAG475,HLAG,HAPAG-LLOYD AG NA O.N.,Common stock,EUR,2504809,2022-04-25,09:50,315,315.2,314.2,315.2,38,6
DE0007100000,MBG,MERCEDES-BENZ GRP NA O.N.,Common stock,EUR,2505076,2022-04-25,09:50,63.71,63.73,63.68,63.72,2711,24
IE00BZ02LR44,XZW0,X(IE)-MSCI WORLD ESG 1C,ETF,EUR,3178226,2022-04-25,09:50,29.015,29.03,29.015,29.03,33,2
DE0008402215,HNR1,HANNOVER RUECK SE NA O.N.,Common stock,EUR,2505132,2022-04-25,09:50,144.75,144.85,144.75,144.85,52,3
US00206R1023,SOBA,AT + T INC.          DL 1,Common stock,EUR,2506414,2022-04-25,09:50,18.22,18.22,18.22,18.22,100,4
LU1834983550,LBRE,LIF-600 BAS.RE. EOA,ETF,EUR,3768606,2022-04-25,09:50,94.21,94.21,94.21,94.21,24,1
DE0006602006,G1A,GEA GROUP AG,Common stock,EUR,2505051,2022-04-25,09:50,37.27,37.27,37.26,37.26,143,4
FR0010869495,LYQL,LY.D.SHORTDAX X2 UETF A,ETF,EUR,2504266,2022-04-25,09:50,1.639,1.639,1.639,1.639,1001,1
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2022-04-25,09:50,77.29,77.32,77.24,77.28,6654,24
DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2022-04-25,09:50,12.01,12.01,12.01,12.01,858,5
DE0005313704,AFX,CARL ZEISS MEDITEC AG,Common stock,EUR,2504922,2022-04-25,09:50,124.6,124.6,124.6,124.6,161,2
US64110L1061,NFC,"NETFLIX INC.      DL-,001",Common stock,EUR,2506536,2022-04-25,09:50,198.72,198.88,198.72,198.88,147,6
DE0008019001,PBB,DT.PFANDBRIEFBK AG,Common stock,EUR,2505126,2022-04-25,09:50,12.03,12.03,12.03,12.03,191,1
DE000ETFL029,EL4B,DK EURO STOXX 50,ETF,EUR,2506377,2022-04-25,09:50,37.865,37.865,37.865,37.865,3156,1
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2022-04-25,09:50,41.21,41.21,41.18,41.19,8839,30
DE0005933931,EXS1,ISHS CORE DAX UC.ETF EOA,ETF,EUR,2504265,2022-04-25,09:50,117.98,118,117.98,118,47,3
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,09:50,95.33,95.38,95.31,95.34,2559,33
DE0006766504,NDA,AURUBIS AG,Common stock,EUR,2505060,2022-04-25,09:50,104.5,104.5,104.35,104.35,161,5
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,09:50,51.87,51.89,51.85,51.87,5914,16
DE0008430026,MUV2,MUENCH.RUECKVERS.VNA O.N.,Common stock,EUR,2505134,2022-04-25,09:50,230.6,230.8,230.6,230.8,755,16
US4627261005,I8R,"IROBOT CORP.       DL-,01",Common stock,EUR,4593374,2022-04-25,09:50,45,45,45,45,80,1
DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2022-04-25,09:50,17.24,17.25,17.24,17.244,12002,24
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,09:50,193.24,193.36,193.18,193.26,911,16
