ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
AT0000A0E9W5,SANT,S+T AG O.N.,Common stock,EUR,2504159,2022-03-14,14:00,12.42,12.42,12.41,12.41,561,4
BE0974293251,1NBA,ANHEUSER-BUSCH INBEV,Common stock,EUR,2504195,2022-03-14,14:00,52.06,52.06,52.06,52.06,420,1
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2022-03-14,14:00,37.5,37.5,37.46,37.46,157,5
DE000A0D6554,NDX1,NORDEX SE O.N.,Common stock,EUR,2504290,2022-03-14,14:00,16.76,16.76,16.76,16.76,141,2
DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2022-03-14,14:00,205,205,204.4,204.8,259,10
DE000A0F5UF5,EXXT,ISHARES NASDAQ-100 U.ETF,ETF,EUR,2504303,2022-03-14,14:00,118,118,118,118,93,2
DE000A0F5UJ7,EXV1,IS.S.EU.600 BANK.U.ETF A.,ETF,EUR,2504306,2022-03-14,14:00,13.122,13.122,13.122,13.122,380,1
DE000A0F5UK5,EXV6,IS.S.E.600 BA.RE.U.ETF A.,ETF,EUR,2504307,2022-03-14,14:00,67.49,67.49,67.49,67.49,358,3
DE000A0HL8N9,2GB,2G ENERGY AG,Common stock,EUR,2504311,2022-03-14,14:00,117.4,117.4,117.2,117.4,45,3
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2022-03-14,14:00,34.87,34.89,34.87,34.89,315,4
DE000A0H08J9,EXH4,IS.S.E.600 I.G+S.U.ETF A.,ETF,EUR,2504327,2022-03-14,14:00,68.48,68.48,68.48,68.48,70,2
DE000A0H08R2,EXV2,ISH.S.EU.600 TEL.U.ETF A.,ETF,EUR,2504334,2022-03-14,14:00,20.425,20.425,20.425,20.425,5377,1
DE000A0JK2A8,AR4,AURELIUS EQ.OPP.   O.N.,Common stock,EUR,2504340,2022-03-14,14:00,24.92,24.92,24.92,24.92,183,2
DE000A0JL9W6,VBK,VERBIO VER.BIOENERGIE  ON,Common stock,EUR,2504343,2022-03-14,14:00,62.7,62.75,62.65,62.75,728,11
DE000A0KRJ77,OD7Q,WITR COM.SEC.DZ06/UN.SOYB,ETC,EUR,2504366,2022-03-14,14:00,27.81,27.81,27.81,27.81,873,1
DE000A0KRJ93,OD7S,WITR COM.SEC.DZ06/UN.WEAT,ETC,EUR,2504368,2022-03-14,14:00,1.0478,1.0478,1.0478,1.0478,2000,1
DE000A0LD6E6,GXI,GERRESHEIMER AG,Common stock,EUR,2504380,2022-03-14,14:00,61.55,61.6,61.55,61.6,72,2
DE000A0Q4R28,EXV5,ISH.S.EU.600 A+P U.ETF A.,ETF,EUR,2504393,2022-03-14,14:00,49.63,49.63,49.63,49.63,374,1
DE000A0S8488,HHFA,HAMBURG.HAFEN LOG.A-SP NA,Common stock,EUR,2504409,2022-03-14,14:00,16.12,16.12,16.12,16.12,19,1
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Common stock,EUR,2504428,2022-03-14,14:00,17.71,17.71,17.68,17.695,692,6
DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.,Common stock,EUR,2504438,2022-03-14,14:00,24.12,24.14,24.11,24.14,1006,6
DE000A1DAHH0,BNR,BRENNTAG SE NA O.N.,Common stock,EUR,2504453,2022-03-14,14:00,69.84,69.84,69.8,69.8,1166,9
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-03-14,14:00,208.8,208.8,208.25,208.55,5230,47
DE000A1H8BV3,NOEJ,NORMA GROUP SE NA O.N.,Common stock,EUR,2504474,2022-03-14,14:00,27.96,28.02,27.96,28,159,4
DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG NA,Common stock,EUR,2504492,2022-03-14,14:00,2.476,2.476,2.474,2.474,334,2
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2022-03-14,14:00,45.66,45.74,45.64,45.7,5332,19
DE000A1MMCC8,ILM1,MEDIOS AG  O.N.,Common stock,EUR,2504502,2022-03-14,14:00,27.7,27.7,27.65,27.65,591,2
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2022-03-14,14:00,47.15,47.33,47.15,47.33,6576,20
DE000A1TNUT7,DBAN,DT.BETEILIG.AG   NA O.N.,Common stock,EUR,2504519,2022-03-14,14:00,28.85,28.85,28.85,28.85,18,1
DE000A1TNV91,ADE,BITCOIN GROUP SE  O.N.,Common stock,EUR,2504520,2022-03-14,14:00,36.25,36.25,36.25,36.25,194,2
DE000A1X3XX4,DIC,DIC ASSET AG NA O.N.,Common stock,EUR,2504532,2022-03-14,14:00,15.07,15.07,15.07,15.07,83,2
DE000A12DM80,G24,SCOUT24 SE NA O.N.,Common stock,EUR,2504556,2022-03-14,14:00,51.82,51.82,51.78,51.78,587,8
DE000A13SX22,HLE,HELLA GMBH+CO. KGAA O.N.,Common stock,EUR,2504580,2022-03-14,14:00,55.26,55.34,55.24,55.34,409,9
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-03-14,14:00,54.97,54.99,54.86,54.95,10055,37
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2022-03-14,14:00,55.64,55.66,55.59,55.64,2954,21
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2022-03-14,14:00,6.567,6.58,6.557,6.579,4341,9
DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2022-03-14,14:00,10.692,10.692,10.69,10.69,1980,3
DE000ETFL037,EL4C,DK STOXX EUR.STR.GROW.20,ETF,EUR,2504683,2022-03-14,14:00,51.94,51.95,51.89,51.89,146,3
DE000ETFL052,EL4E,DK STOXX EUR.STR.STY.C.40,ETF,EUR,2504685,2022-03-14,14:00,36.325,36.325,36.325,36.325,70,1
DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.,Common stock,EUR,2504806,2022-03-14,14:00,24.67,24.67,24.65,24.67,1000,8
DE000FTG1111,FTK,FLATEXDEGIRO AG NA O.N.,Common stock,EUR,2504808,2022-03-14,14:00,18.93,18.93,18.87,18.87,3706,7
DE000HLAG475,HLAG,HAPAG-LLOYD AG NA O.N.,Common stock,EUR,2504809,2022-03-14,14:00,278.6,278.6,278.2,278.2,62,6
DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2022-03-14,14:00,11.55,11.55,11.55,11.55,1069,2
DE000KGX8881,KGX,KION GROUP AG,Common stock,EUR,2504811,2022-03-14,14:00,74.26,74.3,74.2,74.3,217,10
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-03-14,14:00,23.68,23.68,23.63,23.66,1300,9
DE000LEG1110,LEG,LEG IMMOBILIEN SE NA O.N.,Common stock,EUR,2504814,2022-03-14,14:00,109.3,109.4,109.3,109.4,643,7
DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO,Common stock,EUR,2504816,2022-03-14,14:00,76.34,76.46,76.26,76.46,1868,13
DE000PAT1AG3,PAT,PATRIZIA AG NA ON,Common stock,EUR,2504817,2022-03-14,14:00,16.82,16.82,16.78,16.78,482,5
DE000PSM7770,PSM,PROSIEBENSAT.1  NA O.N.,Common stock,EUR,2504848,2022-03-14,14:00,12.055,12.055,12.04,12.04,2253,7
DE000SHA0159,SHA,SCHAEFFLER AG INH. VZO,Common stock,EUR,2504849,2022-03-14,14:00,5.605,5.605,5.6,5.605,814,3
DE000STRA555,SBS,STRATEC SE  NA O.N.,Common stock,EUR,2504851,2022-03-14,14:00,107.2,107.2,107.2,107.2,68,2
DE000SYM9999,SY1,SYMRISE AG INH. O.N.,Common stock,EUR,2504852,2022-03-14,14:00,98.96,99.06,98.94,98.96,1105,16
DE000TLX1005,TLX,TALANX AG NA O.N.,Common stock,EUR,2504854,2022-03-14,14:00,40.7,40.76,40.7,40.76,1154,10
DE000TUAG000,TUI1,TUI AG NA O.N.,Common stock,EUR,2504855,2022-03-14,14:00,2.758,2.768,2.758,2.768,4654,4
DE000UNSE018,UN01,UNIPER SE  NA O.N.,Common stock,EUR,2504856,2022-03-14,14:00,21.93,21.93,21.92,21.93,679,6
DE000WAF3001,WAF,SILTRONIC AG NA O.N.,Common stock,EUR,2504859,2022-03-14,14:00,93.62,93.62,93.62,93.62,30,1
DE000WCH8881,WCH,WACKER CHEMIE        O.N.,Common stock,EUR,2504860,2022-03-14,14:00,142.15,142.4,142,142.3,540,29
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-03-14,14:00,48.17,48.19,48.06,48.18,1214,13
DE0002635307,EXSA,ISH.STOX.EUROPE 600 U.ETF,ETF,EUR,2504871,2022-03-14,14:00,43.215,43.215,43.215,43.215,372,1
DE0005089031,UTDI,UTD.INTERNET AG NA,Common stock,EUR,2504878,2022-03-14,14:00,29.62,29.62,29.59,29.62,532,5
DE0005102008,BSL,BASLER AG O.N.,Common stock,EUR,2504880,2022-03-14,14:00,106.6,106.6,106.6,106.6,58,2
DE0005104400,AOF,ATOSS SOFTWARE AG,Common stock,EUR,2504882,2022-03-14,14:00,168.6,168.6,168.6,168.6,4,1
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-03-14,14:00,10.168,10.186,10.138,10.186,83144,57
DE0005158703,BC8,BECHTLE AG O.N.,Common stock,EUR,2504894,2022-03-14,14:00,44.94,44.97,44.91,44.91,515,10
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2022-03-14,14:00,74.38,74.44,74.26,74.44,1335,21
DE0005190037,BMW3,BAY.MOTOREN WERKE  VZO,Common stock,EUR,2504901,2022-03-14,14:00,65.5,65.55,65.4,65.55,571,5
DE0005200000,BEI,BEIERSDORF AG O.N.,Common stock,EUR,2504906,2022-03-14,14:00,85.2,85.2,85.1,85.1,643,13
