ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0008402215,HNR1,HANNOVER RUECK SE NA O.N.,Common stock,EUR,2505132,2022-04-25,15:04,145.85,145.85,145.75,145.8,280,8
IE00BNTVVW33,BETS,HANETF-FISCHSBG DLA,ETF,EUR,6498299,2022-04-25,15:04,4.2305,4.2305,4.2305,4.2305,100,1
GB00BLGZ9862,TCO0,"TESCO PLC     LS-,0633333",Common stock,EUR,6105936,2022-04-25,15:04,3.17,3.17,3.17,3.17,38,1
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2022-04-25,15:04,39.68,39.72,39.68,39.68,2283,25
DE000ENER6Y0,ENR,SIEMENS ENERGY AG NA O.N.,Common stock,EUR,5651167,2022-04-25,15:04,18.77,18.77,18.74,18.75,2883,10
NL0012044747,SAE,SHOP APOTHEKE EUROPE INH.,Common stock,EUR,2506271,2022-04-25,15:04,68.2,68.2,68.06,68.14,1375,18
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-04-25,15:04,10.418,10.428,10.418,10.424,80832,57
DE0005933956,EXW1,ISH.CORE EO STOX.50 U.ETF,ETF,EUR,2506383,2022-04-25,15:04,37.845,37.865,37.845,37.865,2312,2
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2022-04-25,15:04,95.84,95.85,95.8,95.81,5096,36
DE000A0XYHT5,IBU,IBU-TEC ADV.MATER. INH.ON,Common stock,EUR,2504434,2022-04-25,15:04,33.85,33.85,33.8,33.8,30,2
DE0008303504,TEG,TAG IMMOBILIEN AG,Common stock,EUR,2505131,2022-04-25,15:04,19.55,19.55,19.52,19.52,1185,6
IE00BM67HP23,XDWC,X(IE)-MSCI WO.CO.DI. 1CDL,ETF,EUR,2505457,2022-04-25,15:04,45.565,45.565,45.565,45.565,27,1
CH0454664001,2BTC,21SHARES BITCOIN ETP OE,ETN,EUR,5398331,2022-04-25,15:04,12.839,12.839,12.839,12.839,747,3
LU1033693638,C007,LYXOR MDAX UCITS ETF I,ETF,EUR,2506087,2022-04-25,15:04,26.95,26.95,26.95,26.95,264,1
IE00B1TXK627,IQQQ,ISHSII-GL.WATER DLDIS,ETF,EUR,2505595,2022-04-25,15:04,54.54,54.54,54.54,54.54,458,1
LU2037749822,540S,AIS-AM.SMRT FCTY UETFEOUA,ETF,EUR,4599587,2022-04-25,15:04,66.14,66.14,66.14,66.14,2,1
IE00BN4Q0370,AW10,UIE-WRLD C.P.A. ADLA,ETF,EUR,6270783,2022-04-25,15:04,13.824,13.824,13.824,13.824,13,1
IE00BLSN7P11,AW1C,SP500 ESEL E. ADLA,ETF,EUR,6192419,2022-04-25,15:04,13.108,13.108,13.108,13.108,95,1
IE00BZ4BMM98,EHDV,INVESCOM3 EUROSTX HDL A,ETF,EUR,2506394,2022-04-25,15:04,24.755,24.755,24.755,24.755,78,1
IE00BGDPWW94,36B3,ISHSII-MSCI EUR.SRI EODIS,ETF,EUR,3875863,2022-04-25,15:04,6.793,6.793,6.793,6.793,38,1
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2022-04-25,15:04,41.31,41.32,41.3,41.315,4672,19
DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2022-04-25,15:04,213.2,213.35,213.15,213.15,5952,30
DE0005659700,EUZ,ECKERT+ZIEGLER AG O.N.,Common stock,EUR,2504962,2022-04-25,15:04,49.28,49.28,49.22,49.22,285,3
IE00BP3QZ601,IS3Q,ISHSIV-E.MSCI W.QU.F.DL A,ETF,EUR,2505470,2022-04-25,15:04,47.225,47.23,47.225,47.23,626,2
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2022-04-25,15:04,27.915,27.93,27.91,27.91,13224,41
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,15:04,51.84,51.91,51.83,51.88,10469,22
DE000JST4000,JST,JOST WERKE AG INH.   O.N.,Common stock,EUR,2547456,2022-04-25,15:04,36.45,36.5,36.45,36.5,75,2
DE0007493991,SAX,STROEER SE + CO. KGAA,Common stock,EUR,2505103,2022-04-25,15:04,56.8,56.8,56.8,56.8,191,1
IE00BHZRQZ17,FLXI,FRANK.LIB.INDIA ETF DLA,ETF,EUR,4188160,2022-04-25,15:04,31.425,31.425,31.425,31.425,48,1
IE00BFNM3K80,S6DW,ISHSIV-MSCI WLD ESG S.DLD,ETF,EUR,3546666,2022-04-25,15:04,6.482,6.482,6.482,6.482,652,1
FR0010688192,18M6,AMUNDI ETF MSCI EU.HEAL.,ETF,EUR,2505262,2022-04-25,15:04,362.75,362.8,362.75,362.8,165,2
DE000ETFL235,EL4X,DK DAXPLUS MAX.DIVIDEND,ETF,EUR,2504260,2022-04-25,15:04,57.21,57.21,57.21,57.21,59,1
LU1829220216,LYY0,MUL-LYX.MSCI A.C.W.UC.ETF,ETF,EUR,3581858,2022-04-25,15:04,356.45,356.45,356.45,356.45,16,1
IE00B4PY7Y77,IS0R,ISHSII-DLHY CORP BD DLDIS,ETF,EUR,2505663,2022-04-25,15:04,88.928,88.928,88.928,88.928,190,1
IE00BGJWWV33,EIB5,INVESCOM2 EURGOV B3-5Y A,ETF,EUR,4353692,2022-04-25,15:04,37.915,37.915,37.915,37.915,2,1
FR0010755611,18MF,AMUNDI ETF LEV. USA,ETF,EUR,2505286,2022-04-25,15:04,4001,4003.5,4001,4003.5,9,2
IE00B9MRJJ36,XDGM,X(IE)-GERM.MITTEL.MCAP 1D,ETF,EUR,2505788,2022-04-25,15:04,27.02,27.02,27.02,27.02,79,1
LU1900068914,LCHI,MUL-L.CHIN.ENT. EOA,ETF,EUR,3867864,2022-04-25,15:04,87.97,87.97,87.97,87.97,200,1
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2022-04-25,15:04,30.6,30.61,30.57,30.57,7063,22
GB00B10RZP78,UNVB,"UNILEVER PLC   LS-,031111",Common stock,EUR,4622058,2022-04-25,15:04,42.86,42.86,42.86,42.86,179,1
DE0008430026,MUV2,MUENCH.RUECKVERS.VNA O.N.,Common stock,EUR,2505134,2022-04-25,15:04,228.6,228.7,228.6,228.7,90,4
DE0007297004,SZU,SUEDZUCKER AG  O.N.,Common stock,EUR,2505095,2022-04-25,15:04,13.07,13.08,13.07,13.07,5458,17
DE000A0LD6E6,GXI,GERRESHEIMER AG,Common stock,EUR,2504380,2022-04-25,15:04,70.7,70.7,70.7,70.7,7,1
DE0006219934,JUN3,JUNGHEINRICH AG O.N.VZO,Common stock,EUR,2505020,2022-04-25,15:04,24.24,24.24,24.22,24.22,424,3
