ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
US34964C1062,2FB,FORT.BRAND.HOME+SEC.INC.,Common stock,EUR,4704754,2022-02-23,20:30,76,76,76,76,0,1
US30040W1080,NWJ,EVERSOURCE ENERGY    DL 5,Common stock,EUR,5990143,2022-02-23,20:30,73,73,73,73,0,1
US6935061076,PPQ,"PPG IND. INC.    DL 1,666",Common stock,EUR,5993758,2022-02-23,20:30,130,130,130,130,0,1
FI4000198031,2QT,"QT GROUP PLC       EO-,10",Common stock,EUR,7026026,2022-02-23,20:30,99.7,99.7,99.7,99.7,0,1
